Name;inSizeRatioProcessNode;inSizeRatioFileNode;inSizeRatioSocketNode;outSizeRatioProcessNode;outSizeRatioFileNode;outSizeRatioSocketNode;inEdgeCompression;outEdgeCompression;sizeStdDev;sizeEnt;boundedPageRankNormalized;boundClosenessSizeCentralityNormalized;boundBetweennessSizeCentrality;pageRankNormalized;closenessSizeCentralityNormalized;betweennessSizeCentrality;fitModel-poly4-inSizeRatioProcessNode-c0;fitModel-poly4-inSizeRatioProcessNode-c1;fitModel-poly4-inSizeRatioProcessNode-c2;fitModel-poly4-inSizeRatioProcessNode-c3;fitModel-poly4-inSizeRatioProcessNode-c4;fitModel-poly4-inSizeRatioFileNode-c0;fitModel-poly4-inSizeRatioFileNode-c1;fitModel-poly4-inSizeRatioFileNode-c2;fitModel-poly4-inSizeRatioFileNode-c3;fitModel-poly4-inSizeRatioFileNode-c4;fitModel-poly4-inSizeRatioSocketNode-c0;fitModel-poly4-inSizeRatioSocketNode-c1;fitModel-poly4-inSizeRatioSocketNode-c2;fitModel-poly4-inSizeRatioSocketNode-c3;fitModel-poly4-inSizeRatioSocketNode-c4;fitModel-poly4-outSizeRatioProcessNode-c0;fitModel-poly4-outSizeRatioProcessNode-c1;fitModel-poly4-outSizeRatioProcessNode-c2;fitModel-poly4-outSizeRatioProcessNode-c3;fitModel-poly4-outSizeRatioProcessNode-c4;fitModel-poly4-outSizeRatioFileNode-c0;fitModel-poly4-outSizeRatioFileNode-c1;fitModel-poly4-outSizeRatioFileNode-c2;fitModel-poly4-outSizeRatioFileNode-c3;fitModel-poly4-outSizeRatioFileNode-c4;fitModel-poly4-outSizeRatioSocketNode-c0;fitModel-poly4-outSizeRatioSocketNode-c1;fitModel-poly4-outSizeRatioSocketNode-c2;fitModel-poly4-outSizeRatioSocketNode-c3;fitModel-poly4-outSizeRatioSocketNode-c4;fitModel-poly4-inEdgeCompression-c0;fitModel-poly4-inEdgeCompression-c1;fitModel-poly4-inEdgeCompression-c2;fitModel-poly4-inEdgeCompression-c3;fitModel-poly4-inEdgeCompression-c4;fitModel-poly4-outEdgeCompression-c0;fitModel-poly4-outEdgeCompression-c1;fitModel-poly4-outEdgeCompression-c2;fitModel-poly4-outEdgeCompression-c3;fitModel-poly4-outEdgeCompression-c4;fitModel-poly4-sizeStdDev-c0;fitModel-poly4-sizeStdDev-c1;fitModel-poly4-sizeStdDev-c2;fitModel-poly4-sizeStdDev-c3;fitModel-poly4-sizeStdDev-c4;fitModel-poly4-sizeEnt-c0;fitModel-poly4-sizeEnt-c1;fitModel-poly4-sizeEnt-c2;fitModel-poly4-sizeEnt-c3;fitModel-poly4-sizeEnt-c4;fitModel-poly4-boundedPageRankNormalized-c0;fitModel-poly4-boundedPageRankNormalized-c1;fitModel-poly4-boundedPageRankNormalized-c2;fitModel-poly4-boundedPageRankNormalized-c3;fitModel-poly4-boundedPageRankNormalized-c4;fitModel-poly4-boundClosenessSizeCentralityNormalized-c0;fitModel-poly4-boundClosenessSizeCentralityNormalized-c1;fitModel-poly4-boundClosenessSizeCentralityNormalized-c2;fitModel-poly4-boundClosenessSizeCentralityNormalized-c3;fitModel-poly4-boundClosenessSizeCentralityNormalized-c4;fitModel-poly4-boundBetweennessSizeCentrality-c0;fitModel-poly4-boundBetweennessSizeCentrality-c1;fitModel-poly4-boundBetweennessSizeCentrality-c2;fitModel-poly4-boundBetweennessSizeCentrality-c3;fitModel-poly4-boundBetweennessSizeCentrality-c4;fitModel-poly4-pageRankNormalized-c0;fitModel-poly4-pageRankNormalized-c1;fitModel-poly4-pageRankNormalized-c2;fitModel-poly4-pageRankNormalized-c3;fitModel-poly4-pageRankNormalized-c4;fitModel-poly4-closenessSizeCentralityNormalized-c0;fitModel-poly4-closenessSizeCentralityNormalized-c1;fitModel-poly4-closenessSizeCentralityNormalized-c2;fitModel-poly4-closenessSizeCentralityNormalized-c3;fitModel-poly4-closenessSizeCentralityNormalized-c4;fitModel-poly4-betweennessSizeCentrality-c0;fitModel-poly4-betweennessSizeCentrality-c1;fitModel-poly4-betweennessSizeCentrality-c2;fitModel-poly4-betweennessSizeCentrality-c3;fitModel-poly4-betweennessSizeCentrality-c4;Class
P>goodware.AddInProcess.exe;0,48210;0,51790;0,00000;-1,00000;-1,00000;-1,00000;0,07320;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,03920;0,00000;0,00000;0,34711;0,02988;-0,74629;0,24447;0,52607;-0,34704;-0,02987;0,74614;-0,24442;0,47394;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,02441;0,00210;-0,05248;0,01719;0,07629;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00242;-0,00033;-0,00594;0,00211;0,04087;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.AddInProcess32.exe;0,48210;0,51790;0,00000;-1,00000;-1,00000;-1,00000;0,07320;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,03920;0,00000;0,00000;0,30508;-0,13559;-0,67795;0,42184;0,48210;-0,30502;0,13556;0,67781;-0,42175;0,51790;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,02145;-0,00953;-0,04767;0,02966;0,07320;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00253;-0,00079;-0,00563;0,00245;0,03980;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.AddInUtil.exe;0,48210;0,51790;0,00000;0,00000;1,00000;0,00000;0,08030;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,04570;0,00010;1,00000;0,30508;-0,13559;-0,67795;0,42184;0,48210;-0,30502;0,13556;0,67781;-0,42175;0,51790;0,00000;0,00000;0,00000;0,00000;0,00000;-0,10547;0,14063;0,04688;-0,06250;0,00000;-0,21094;0,28125;0,09375;-0,12500;1,00000;-0,10547;0,14063;0,04688;-0,06250;0,00000;0,02341;-0,01041;-0,05203;0,03238;0,08030;-0,00001;0,00001;0,00001;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,06846;-0,09128;-0,03043;0,04057;0,35090;-0,21094;0,28125;0,09375;-0,12500;1,00000;-0,21094;0,28125;0,09375;-0,12500;1,00000;0,00285;-0,00149;-0,00588;0,00374;0,04570;-0,00001;0,00001;0,00001;-0,00001;0,00010;-0,10547;0,14063;0,04688;-0,06250;1,00000;goodware
P>goodware.aitagent.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,06590;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01550;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.alg.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,05120;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02100;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.appcmd.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,09300;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01980;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.AppLaunch.exe;1,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,09640;0,00050;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01710;0,00050;1,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.aspnet_compiler.exe;0,51870;0,48130;0,00000;0,00000;1,00000;0,00000;0,04090;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01550;0,00010;1,00000;0,14274;0,04195;-0,46790;0,09652;0,60196;-0,14274;-0,04195;0,46790;-0,09652;0,39804;0,00000;0,00000;0,00000;0,00000;0,00000;-0,09986;0,10465;0,10757;-0,05937;-0,01605;-0,19971;0,20930;0,21513;-0,11873;0,96790;-0,09986;0,10465;0,10757;-0,05937;-0,01605;0,00474;0,00272;-0,01770;0,00328;0,04408;-0,00001;0,00001;0,00001;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,06482;-0,06793;-0,06982;0,03853;0,36132;-0,19971;0,20930;0,21513;-0,11873;0,96790;-0,19971;0,20930;0,21513;-0,11873;0,96790;0,00142;-0,00041;-0,00328;0,00091;0,01607;-0,00001;0,00001;0,00001;-0,00001;0,00010;-0,09986;0,10465;0,10757;-0,05937;0,98395;goodware
P>goodware.aspnet_regbrowsers.exe;0,00000;1,00000;0,00000;0,00000;1,00000;0,00000;0,03250;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01230;0,00010;1,00000;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,00697;0,01139;0,00672;-0,01236;0,03445;-0,00001;0,00002;0,00000;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,05030;-0,10865;0,02282;0,03873;0,34377;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,00024;0,00039;0,00025;-0,00044;0,01237;-0,00001;0,00002;0,00000;-0,00001;0,00010;-0,07749;0,16739;-0,03516;-0,05967;1,01099;goodware
P>goodware.aspnet_regsql.exe;0,72900;0,27100;0,00000;-1,00000;-1,00000;-1,00000;0,02680;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,00940;0,00000;0,00000;-0,01555;0,01211;0,03084;-0,01544;0,72245;0,01555;-0,01211;-0,03084;0,01544;0,27756;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00294;-0,00085;-0,00727;-0,02065;0,06204;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;-0,00089;-0,00044;0,00496;-0,00494;0,01169;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.at.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,02120;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01950;0,00000;0,00000;0,21114;-0,20126;-0,63448;0,78749;0,83538;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00448;-0,00427;-0,01345;0,01670;0,01771;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00078;-0,00075;-0,00235;0,00291;0,01889;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.AtBroker.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,03140;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01610;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.attrib.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,02850;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02130;0,00000;0,00000;-0,36100;0,09096;0,69335;-0,08808;0,87994;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,36100;-0,09096;-0,69335;0,08808;-0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;-0,01482;0,00374;0,02847;-0,00362;0,02357;0,00000;0,00000;0,00000;0,00000;0,00000;0,36100;-0,09096;-0,69335;0,08808;-0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;-0,36100;0,09096;0,69335;-0,08808;0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;-0,00794;0,00200;0,01525;-0,00194;0,01866;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.audiodg.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,11150;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02130;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.auditpol.exe;1,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,04550;0,00000;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,02030;0,00000;1,00000;1,26563;-0,56250;-2,81250;1,75000;1,00000;0,63281;-0,28125;-1,40625;0,87500;0,00000;0,63281;-0,28125;-1,40625;0,87500;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,02879;-0,01280;-0,06398;0,03981;0,04550;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;0,35090;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00386;-0,00172;-0,00858;0,00534;0,02030;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;goodware
P>goodware.baaupdate.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,09520;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02060;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.bcdboot.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,06780;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02610;0,00000;0,00000;0,63281;-0,28125;-1,40625;0,87500;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,04291;-0,01907;-0,09534;0,05933;0,06780;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00342;-0,00135;-0,00759;0,00420;0,02640;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.bckgzm.exe;0,99940;0,00060;0,00000;-1,00000;-1,00000;-1,00000;0,05890;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,05460;0,00000;0,00000;0,63243;-0,28108;-1,40541;0,87448;0,99940;-0,59288;0,26350;1,31752;-0,81979;0,00060;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,03727;-0,01657;-0,08283;0,05154;0,05890;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00323;-0,00143;-0,00717;0,00446;0,05460;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.BdeUISrv.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,00830;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,00330;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00152;-0,00026;-0,00386;-0,00590;0,01875;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00110;-0,00156;-0,00030;-0,00113;0,00518;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.bitsadmin.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,15850;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02030;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.bridgeunattend.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,02170;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02070;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.bthudtask.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,03030;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01620;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.cacls.exe;1,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,02840;0,00000;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01650;0,00000;1,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.CasPol.exe;0,81290;0,18710;0,00000;0,00000;1,00000;0,00000;0,10780;0,00030;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,04790;0,00030;1,00000;-0,12598;0,27215;-0,05716;-0,09702;0,83076;0,12596;-0,27211;0,05715;0,09700;0,16924;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-0,01328;0,02869;-0,00603;-0,01023;0,10968;0,00002;-0,00003;0,00001;0,00001;0,00030;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;0,35090;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;-0,00065;0,00141;-0,00030;-0,00050;0,04799;0,00002;-0,00003;0,00001;0,00001;0,00030;0,00000;0,00000;0,00000;0,00000;1,00000;goodware
P>goodware.certreq.exe;0,00000;0,99940;0,00000;-1,00000;-1,00000;-1,00000;0,01320;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,03030;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-0,01618;0,01323;0,03126;-0,01645;0,99293;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;-0,00122;0,00223;0,00154;-0,01419;0,03044;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;-0,00099;-0,00295;0,01369;-0,01753;0,04079;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.certutil.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,41340;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02100;0,00000;0,00000;0,92985;-1,11594;-1,98884;2,42305;0,63379;0,46492;-0,55797;-0,99442;1,21152;-0,18311;0,46492;-0,55797;-0,99442;1,21152;-0,18311;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,19220;-0,23067;-0,41109;0,50084;0,33770;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00298;-0,00357;-0,00636;0,00775;0,01983;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.change.exe;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01990;0,00000;1,00000;-1203617648983730,00000;303283140268493,00000;2311710087730650,00000;-293655104069493,00000;-400296119087558,00000;-1203617648983730,00000;303283140268493,00000;2311710087730650,00000;-293655104069493,00000;-400296119087558,00000;-1203617648983730,00000;303283140268493,00000;2311710087730650,00000;-293655104069493,00000;-400296119087558,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-0,36100;0,09096;0,69335;-0,08808;0,87994;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-120361764898,37300;30328314026,84930;231171008773,06500;-29365510406,94930;-40029611908,75590;0,36100;-0,09096;-0,69335;0,08808;-0,87994;0,36100;-0,09096;-0,69335;0,08808;-0,87994;-0,11016;0,02776;0,21157;-0,02688;0,31426;-0,36100;0,09096;0,69335;-0,08808;0,87994;-0,36100;0,09096;0,69335;-0,08808;0,87994;-10952920605751,90000;2759876576443,29000;21036561798348,90000;-2672261447032,39000;-3642694683696,76000;-120361764898,37300;30328314026,84930;231171008773,06500;-29365510406,94930;-40029611908,75590;-0,36100;0,09096;0,69335;-0,08808;0,87994;goodware
